hbs3dzelujktp49o.org,chinad dga (malware),360.com
crypt.exe,malware,vxvault.net
milap.net/js/bpx.exe,malware,vxvault.net
leddanceflooromaha.com/wp-admin/css/colors/blue/2c.jpg,malware,vxvault.net
tajstra.if.ua/includes/2c.jpg,malware,vxvault.net
sumenterprise.com/pcboost1.exe,malware,vxvault.net
highendfoods.in/html/2c.jpg,malware,vxvault.net
ge-cleaner.tech/kiskis.exe,malware,vxvault.net
cmailadvert15dx.world/sky/dmx777.exe,malware,vxvault.net
milap.net/js/px1.exe,malware,vxvault.net
gessuae.ae/wp-includes/images/smilies/whe.exe,malware,vxvault.net
cmailadvert15dx.world/crot777amx.exe,malware,vxvault.net
mailfueler.com/test/smilecyrppt.exe,malware,vxvault.net
www.geniusbadesign.xyz/Mondayfile.exe,malware,vxvault.net
